1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
18099.60654;18940.72731;20000.42022;20861.87563;21647.48926;21626.28929;22656.2382;23798.21276;23767.2704;25082.77237;25516.80649;25416.82859;25910.99562;26724.34049;26739.97831;27395.25416;28006.71262;28367.5723;29258.5589;30253.72304;31324.49367;32081.24519;32397.06606;32302.16972;32952.6904;33781.07215;34528.08679;35210.91539;36431.86938;37654.2606;38832.78859;39182.04683;39635.0864;39805.67792;40638.60633;41268.65993;42483.77527;43924.09708;44424.13602;42640.02431;43320.0634;44435.47315;44533.83923;44283.04942;44228.87948;44179.46845;44573.24625;45263.87672;46136.10903;46597.51076;43370.74246;45136.25241
;;;;;;;;;;;;;;;;;;;;2687.025272;2629.128357;2006.971477;1524.058582;1211.704813;1059.37666;1064.596731;1119.225446;1224.474599;1305.244319;1434.315375;1558.894553;1705.101828;1875.15299;2042.861108;2552.685937;3390.296083;4184.601476;4572.360351;4931.702595;5112.311895;5049.361157;5089.861687;5313.36776;5388.114104;5381.087076;5153.43311;5108.799625;5142.753;5229.18875;4981.99372;5247.504048
25659.1237;25326.27907;23827.39223;25050.30623;20410.03445;17034.35817;17551.17652;18754.12937;20967.01397;25916.10189;27065.82108;24115.5205;25263.20262;25684.19483;28767.0473;29571.49066;29518.48597;29826.96405;29949.50373;31357.38918;30265.37267;28435.39523;26773.19834;26278.54773;26569.03014;27217.43996;27866.75745;29059.10837;29925.23189;31575.3195;32405.65001;32791.04;33236.69101;32381.29538;32229.24539;32871.76237;33234.69534;33243.99763;32012.50539;30237.16381;30273.38448;30082.07554;30676.92979;29521.25208;29797.62269;29821.35497;29348.69818;29859.88201;30510.65104;30085.20866;22904.37119;26700.33691
21192.12844;20746.23215;21891.68616;23629.01369;24305.45842;21032.08413;26076.57671;28041.86302;27754.09579;27409.48606;26883.94772;24110.32665;21525.68253;22556.58391;22846.30308;18508.61455;18067.65617;17767.28481;18697.74865;18499.56912;18717.29346;18912.22138;19686.13645;21475.80686;20330.42718;20058.24625;20063.99124;19901.95204;20258.87423;20855.56864;21713.48992;21680.99849;21866.01189;22348.87046;22325.66575;22027.28245;21783.81232;22013.72556;21917.31958;21157.25992;21452.88523;21906.70937;22484.9267;23012.75479;23107.9175;22795.37076;22810.77455;23019.32772;23028.81011;23414.21335;22579.34854;23407.16337
483.465929;451.398375;382.88667;385.621356;412.164696;386.040083;398.924859;400.374662;418.677956;428.599837;421.702439;424.755933;418.325434;426.795159;437.979048;439.76952;448.056244;456.48605;459.626852;461.303347;481.528921;488.350725;499.712237;512.682004;523.487157;539.110609;554.22559;573.736328;592.507098;609.570767;633.619101;654.484278;670.803188;693.836021;725.195524;756.808868;797.269934;860.012025;920.139234;975.550624;1036.770451;1110.288218;1189.363483;1267.697361;1352.082038;1449.562923;1561.631347;1643.936195;1744.00412;1860.655541;1902.93113;2011.730977
10919.70807;11302.34593;11394.22204;11491.05323;10902.78673;11282.5994;11714.38204;12077.63077;12598.72639;13521.7676;14044.01362;13713.16328;12988.06189;13010.12426;13431.64596;13543.30435;14208.17778;14556.40154;15052.94879;15595.20729;15074.22071;14454.53524;13403.07323;13526.13611;13999.60513;14250.67277;14788.26811;15463.89205;16016.87762;16036.95434;16720.26548;16280.14997;16342.56012;16632.23167;16803.01585;17406.23977;18328.43422;18661.71787;18703.93355;17687.10468;17227.33264;17050.34407;16954.45629;16693.80757;16655.83928;17023.69437;17419.78888;17466.65254;17283.37792;17298.5068;15067.43698;14922.52908
;;;;;;;;;;;;;;;;;;;;2827.259409;2780.326449;2507.803282;2317.179803;2047.445953;1835.933566;1891.470448;2114.702965;2302.899679;2393.684256;2545.009889;2679.71083;2832.19517;3051.224949;3422.388159;3769.842405;4172.139526;4552.497888;5038.433449;5061.774224;5468.777717;5786.553527;5895.708238;5953.374814;6055.750547;5819.714592;5671.954785;5816.443122;6007.275355;6107.776839;6092.40442;6276.911064
17923.2981;18524.7471;19430.19473;20561.09914;21378.25361;21063.52755;22231.18282;22341.03871;22943.52094;23447.31171;24460.62487;24356.11685;24466.85361;24520.29393;25107.07248;25503.87852;25949.63119;26514.93316;27717.52719;28623.75459;29455.42927;29912.74508;30281.50854;29908.7728;30795.90449;31446.38671;31773.71028;32876.33184;33410.53795;34473.45567;35614.95938;35849.72644;36298.57323;36509.70582;37619.65661;38270.49775;39002.54283;40168.19121;40073.05907;38991.96664;39826.40687;40213.67405;40234.05494;40156.29787;40522.05939;41086.16912;41354.63892;41774.67795;42285.56523;43000.34764;40557.96866;43151.09356
2143.711447;2247.510225;2315.125009;2267.408459;2444.598957;2419.741672;2355.750072;2404.85645;2543.354521;2587.919426;2639.472886;2608.899027;2539.296045;2426.610708;2417.888425;2387.016996;2440.739562;2792.336132;3136.594145;3647.599768;4112.335134;4501.236627;4972.206393;5171.997425;5060.490178;4968.793189;4873.270303;4909.383084;4923.842544;5206.651842;5657.456684;5755.757008;5879.604206;6252.220717;6355.399593;6305.350559;6399.14591;6422.304327;6147.690927;5954.405582;5879.7333;5729.992056;5807.263053;5930.732391;6034.472398;6098.600079;5974.379169;5750.503569;5699.062801;5833.173562;4957.943867;5768.908387
437.07624;436.799162;469.355644;478.815407;499.907484;455.025426;450.58097;458.693334;444.911009;468.251041;498.778887;512.44418;551.902404;513.092593;538.102952;562.056071;557.502006;533.047005;532.985404;513.479526;542.811764;548.688088;547.865826;554.598459;545.055347;588.056664;646.542095;717.948737;782.846797;864.797646;888.057733;907.660433;921.71982;925.148837;937.328469;923.570136;931.064233;958.828893;976.563723;970.231389;962.087559;962.016146;979.33305;1019.756035;1053.311146;1040.863784;1044.360469;1071.551193;1110.386903;1152.853569;1163.827396;1213.159011
